----------------------------                 ----------------------------
---------------------------- OUTPUT COVERAGE ----------------------------
----------------------------    SEMANTIC     ----------------------------
Branch 0 -> true
Branch 1 -> true
Branch 2 -> true
Branch 3 -> true
Branch 4 -> true
Branch 5 -> true
Branch 6 -> true
Branch 7 -> false
Branch 8 -> false
Branch 9 -> false
Branch 10 -> false
Branch 11 -> false
